longitude,latitude
101.3969,3.1068
101.3877,3.0435
101.4238,3.0706
101.4193,3.0616
101.3968,3.0616
101.4239,3.1067
101.3966,2.9893
101.3879,3.0978
101.4145,2.9531
101.4327,3.0434
101.3969,3.0978
101.3966,2.9803
101.4416,3.0073
101.3968,3.0887
101.4059,3.1068
101.4373,3.1022
101.4148,3.0887
101.4418,3.1067
101.4237,3.0525
101.4237,3.0344
101.3967,3.0074
101.4416,3.0163
101.4238,3.0887
101.3879,3.1068
101.4236,2.9983
101.4235,2.944
101.3966,2.9622
101.4235,2.9531
101.3968,3.0526
101.419,2.9531
101.4327,3.0525
101.4325,2.9621
101.4327,3.0615
101.4147,3.0164
101.4418,3.0886
101.4415,2.953
101.4418,3.0977
101.4328,3.0977
101.4462,3.0389
101.4598,3.0795
101.3966,2.9983
101.4236,3.0073
101.4237,3.0163
101.3876,2.9622
101.3968,3.0797
101.4147,3.0525
101.4235,2.9486
101.4238,3.0615
101.4328,3.0886
101.4238,3.0977
101.4418,3.0796
101.4326,3.0163
101.4237,3.057
101.4597,3.0615
101.4642,3.0434
101.4417,3.0615
101.4192,3.057
101.3699,3.1069
101.4642,3.0389
101.4055,2.9441
101.4325,2.9531
101.419,2.9486
101.4641,2.9937
101.4415,2.9711
101.3965,2.9441
101.4687,3.0434
101.4418,3.0705
101.446,2.9756
101.4775,2.971
101.4778,3.0976
101.4686,2.9982
101.4868,3.0885
101.4595,2.944
101.4595,2.9711
101.4777,3.0524
101.4595,2.9801
101.4685,2.962
101.4732,3.0434
101.4867,3.0569
101.4776,3.0072
101.4685,2.9801
101.4688,3.1066
101.4687,3.0795
101.4777,3.0614
101.482,2.962
101.4868,3.1111
101.4778,3.0931
101.4509,3.1157
101.4777,3.0795
101.446,2.9711
101.4506,3.0253
101.4775,2.9801
101.4777,3.0433
101.4867,3.0704
101.4596,3.0163
101.4955,2.9665
101.4236,2.9892
101.4508,3.0886
101.4774,2.9484
101.4912,3.0614
101.4913,3.1156
101.4505,2.953
101.4776,3.0162
101.4505,2.9711
101.4553,3.1157
101.4777,3.0705
101.4551,3.0298
101.4598,3.0886
101.4955,2.98
101.4371,2.9847
101.4819,2.9529
101.4867,3.0795
101.4508,3.0796
101.4909,2.9439
101.491,2.9846
101.4596,2.9937
101.4911,3.0117
101.4955,2.962
101.4597,3.0343
101.4864,2.9529
101.4685,2.953
101.4508,3.0976
101.4506,3.0073
101.4911,3.0072
101.4956,3.0433
101.4596,3.0072
101.4595,2.962
101.4596,3.0253
101.4551,2.9892
101.4415,2.9621
101.4551,3.0253
101.4911,3.0162
101.4958,3.1021
101.4821,2.9981
101.4597,3.0524
101.4865,2.971
101.4957,3.0523
101.4507,3.0615
101.4957,3.0795
101.4956,3.0252
101.4867,3.0524
101.4912,3.0569
101.4506,3.0163
101.4551,3.0163
101.4508,3.1067
101.4913,3.1066
101.4598,3.1067
101.4866,3.0252
101.4776,3.0027
101.455,2.9575
101.4505,2.944
101.4958,3.1066
101.4643,3.1021
101.4868,3.1021
101.4823,3.1156
101.4685,2.9891
101.4505,2.9756
101.4507,3.0705
101.4552,3.0479
101.4821,3.0117
101.4868,3.1066
101.4957,3.0569
101.4505,2.9575
